,id,BoxOffice
245,before_night_falls,$4.2M
246,love_streams,
247,the_body_remembers_when_the_world_broke_open,
248,trumpet_of_the_swan,$152.5K
249,stillborn_2018,
250,rock_of_ages_2012,$38.5M
251,girl_with_the_red_riding_hood,$37.7M
252,love_story,
253,the_we_and_the_i,$28.3K
254,petes_dragon,
255,my_giant,$8.0M
256,saturday_church,
257,out_stealing_horses,
258,phoenix_forgotten,$3.6M
259,hello_my_name_is_doris,$14.4M
260,ballistic_ecks_vs_sever,$14.3M
261,heaven_knows_what,$79.1K
262,cow,$22.2K
263,last_call_2020,
264,a_ghost_story,$1.6M
265,ruben_brandt_collector,$118.0K
266,reel_injun,
267,the_assassin_2015,$632.5K
268,intimate_strangers_2003,$2.1M
269,safer_at_home,
270,the_guard_2011,$5.4M
271,1002531-black_widow,$22.7M
272,moonstruck,$80.0M
273,better_living_through_chemistry,$72.3K
274,masterminds_2016,$17.3M
275,the_novice_2021,$23.0K
276,1008015-fury,
277,demonlover,$231.8K
278,countdown_2019,$25.6M
279,only_yesterday_1991,
280,the_broken_circle_breakdown,
281,tag_2018,$54.5M
282,1006207-dr_jekyll_and_mr_hyde,
283,what_would_jesus_buy,$188.8K
284,skate_kitchen,$236.1K
285,desperado,$24.9M
286,married_to_the_mob,$19.7M
287,play_it_again_sam,
288,haiku_tunnel,$252.1K
289,strawberry_mansion,$96.2K
290,broken_hearts_club,$1.7M
291,last_exit_to_brooklyn,$1.2M
292,american_carnage,
293,year_of_the_horse,$255.7K
294,kitchen_stories,$349.3K
295,dry_white_season,$3.3M
296,1008924-greed,
297,enron_the_smartest_guys_in_the_room,$4.1M
298,happenstance,$251.4K
299,1215969-i_sell_the_dead,$7.1K
300,texas_chainsaw_massacre_the_next_generation,$136.3K
301,the_nutty_professor,
302,the_right_kind_of_wrong,$2.0K
303,on_the_waterfront,
304,hannah-montanamiley-cyrus-best-of-both-worlds-concert-tour,$65.3M
305,daytrippers,$2.1M
306,savages_2012,$47.3M
307,luck_2022,
308,the_great_water,$87.4K
309,london_to_brighton,
310,rewind_this,
311,1046129-fugitive,$183.8M
312,star_trek_nemesis,$500.0K
313,shes_gotta_have_it,$5.0M
314,dredd,$13.3M
315,come_from_away,
316,joe_the_king,$59.0K
317,miami_rhapsody,$5.2M
318,hoop_dreams,$7.8M
319,1093905-onegin,$183.8K
320,1022314-uncommon_valor,
321,the_brooklyn_brothers_beat_the_best_2011,$50.5K
322,we_dont_live_here_anymore,$2.0M
323,minnie_and_moskowitz,
324,lady_and_the_tramp_2019,
325,what_to_expect_when_youre_expecting,$41.1M
326,return_to_sender_2015,
327,mona_lisa_smile,$63.7M
328,thin_ice_2012,$789.8K
329,butter_2011,$70.9K
330,cobb,$648.1K
331,cool_dry_place,
332,10003276-criminal,$923.4K
333,shes_the_one,$9.5M
334,let_him_go,$9.4M
335,lets_talk_about_sex_1998,$417.8K
336,10008991-informers,
337,overlord_2018,$21.7M
338,master_z_ip_man_legacy,$188.7K
339,sex_lies_and_videotape,$22.7M
340,material_girls,$11.4M
341,evidence_2013,
342,1202867-dear_zachary,
343,the_singing_revolution,$330.0K
344,1018916-show_boat,
345,northern_soul,$6.8K
346,feel_the_noise,$5.9M
347,free_birds_2013,$55.7M
348,babe_pig_in_the_city,$18.3M
349,1021312-three_amigos,$36.2M
350,sleeping_with_other_people,$814.8K
351,life_stinks,$3.8M
352,wildcat_2022,
353,freakdog,
354,pierrepoint_the_last_hangman,$21.8K
355,presumed_innocent,$85.7M
356,1032522-alice,$6.8M
357,crooked_arrows,$1.8M
358,our_little_sister,$496.2K
359,in_order_of_disappearance,$49.3K
360,the-adventures-of-sharkboy-and-lavagirl-in-3d,$39.2M
361,the_ambassador,
362,sacro_gra,
363,lords_of_dogtown,$11.0M
364,crimson_gold,$147.8K
365,mine_9,
366,1101561-1101561-malena,$3.4M
367,green_lantern,$116.6M
368,8_bit_christmas,
369,the_flood_2019,
370,gabrielle_2013,$5.5K
371,1014008-missing_in_action,
372,robot_overlords,
373,acod,$172.3K
374,1038518-raven,
375,10011984-last_song,$62.9M
376,lisa_picard_is_famous,$112.5K
377,spaceship_2016,
378,desert_dancer,$153.5K
379,the_invisible_woman_2013,$1.2M
380,evelyn,$1.4M
381,air-doll,
382,a_thousand_cuts_2020,
383,footloose-2010,$51.8M
384,blood_and_chocolate,$3.5M
385,morbius,$73.6M
386,marguerite,$496.2K
387,tyrel,$18.2K
388,good_night,$22.2K
389,wild_orchid,$10.7M
390,the_eagle_huntress,$3.2M
391,1010012-house,$17.5M
392,in_pursuit_of_silence,$29.0K
393,hector_and_the_search_for_happiness,$1.1M
394,1212694-blind_side,$256.0M
395,if_you_build_it,$4.9K
396,1492_conquest_of_paradise,$6.5M
397,small_engine_repair_2021,$73.0K
398,earth_to_echo,$38.9M
399,lucy_in_the_sky,$315.0K
400,richard_jewell,$22.3M
401,steamboat_bill_jr,
402,diminished_capacity,$21.3K
403,the_retaliators,
404,package,$9.3M
405,stronger_2017,$4.2M
406,show_dogs,$17.7M
407,straight_talk,$20.1M
408,grow-your-own,
409,somewhere_2010,$1.8M
410,papadopoulos_and_sons_2012,
411,mrs_browns_boys_dmovie,
412,singing_detective,$336.5K
413,bullets_over_broadway,$11.4M
414,waste-land,$187.7K
415,black_widow_2021,$183.6M
416,purple_hearts_2022,
417,carbon_nation,
418,twentieth_century,
419,vhyes,
420,1095351-1095351-what_planet_are_you_from,$6.3M
421,breaking_news_in_yuba_county,
422,omega_man,
423,mine_vaganti,
424,read_my_lips,$1.4M
425,1041862-forever_young,$55.0M
426,john_mcenroe_in_the_realm_of_perfection,$73.7K
427,riding-the-bullet,$101.1K
428,vicky_cristina_barcelona,$23.2M
429,song_of_granite,$9.4K
430,pickup_on_south_street,
431,fauci,
432,in_darkness_2018,
433,to_the_arctic,$14.6M
434,bug,$7.0M
435,duma,$860.0K
436,the_seagull_2018,$1.2M
437,our_nixon,$19.2K
438,love_antosha,$19.9K
439,yves_saint_laurent,
440,amores_perros,$5.4M
441,for_those_in_peril_2014,
442,1002512-black_rain,$44.9M
443,never_cry_wolf,
444,t2_trainspotting,$2.4M
445,swimming_upstream,$47.2K
446,words_and_pictures,$2.2M
447,be_here_to_love_me_a_film_about_townes_van_zandt,$129.4K
448,muscle_shoals_2013,$695.6K
449,ratcatcher,$216.8K
450,solas,$367.9K
451,the_wilderness_of_james,
452,the_american_side,
453,virgin_suicides,$4.9M
454,dont_worry_he_wont_get_far_on_foot,$1.4M
455,another_round,
456,player,$21.7M
457,the_oscar_nominated_short_films_animation,
458,the_northman,$34.2M
459,100_bloody_acres_2013,$6.2K
460,the_puffy_chair,$192.5K
461,mid_august_lunch,$673.7K
462,miss_pettigrew_lives_for_a_day,$12.3M
463,body_of_evidence,$13.7M
464,backcountry,
465,spirit_stallion_of_the_cimarron,$73.2M
466,ethan_frome,$161.4K
467,pacific_heights,$27.9M
468,the_bay_of_silence,
469,happy_happy_joy_joy_the_ren_and_stimpy_story,
470,transsiberian,$2.2M
471,big_stone_gap,$1.0M
472,severance,$136.4K
473,the_rape_of_recy_taylor,
474,skull_the_mask,
475,holidate,
476,palo_alto,$750.1K
477,luv_2011,$151.1K
478,shame_2011,$4.0M
479,ben_hur_2016,$26.4M
480,memoria_2021,$52.7K
481,the_other_side_of_the_door,$3.0M
482,the_russian_woodpecker,
483,the_truffle_hunters,$520.4K
484,everything_must_go,$2.7M
485,i_frankenstein,$19.1M
486,wild_indian,
487,mr-right,
488,queen_of_hearts_2019,
489,donald_cried,$61.0K
490,passion_fish,$2.4M
491,oklahoma,
492,1226860-losers,$23.6M
493,sweet_home_alabama,$127.2M
494,1010174-hud,
495,the_mule_2018,$103.8M
496,the_vatican_tapes_2015,$1.8M
497,the_beguiled,$10.5M
498,way_home,$444.9K
499,queen_margot,$11.3K
500,the_matchmaker_2010,
501,war_of_the_worlds,$234.3M
502,electrick_children,
503,1117377-all_or_nothing,$112.9K
504,hors_la_loi_2010,
505,maquia_when_the_promised_flower_blooms,
506,vortex_2021,
507,reverb,
508,unforgettable_2017,$11.3M
509,the_angels_share,$304.4K
510,bubble_boy,$5.0M
511,summer_03,$11.7K
512,the_letters_2015,$1.6M
513,lock_stock_and_two_smoking_barrels,$3.7M
514,pistol_opera,
515,the_gray_man_2022,
516,tokyo_tribe_2014,
517,drive_my_car,$2.3M
518,i_love_my_dad,$100.1K
519,neruda_2016,$938.9K
520,ringu,
521,blue_ruin,$258.1K
522,seagulls_laughter,
523,lavventura,
524,belle_epoque,$943.5K
525,big_gold_brick,
526,windtalkers,$40.9M
527,whats_up_doc,
528,kill_list_2011,$26.3K
529,gueros,
530,10009254-shutter,$25.9M
531,1003075-brewsters_millions,
532,1006299-dressed_to_kill,
533,a_beautiful_day_in_the_neighborhood,$61.7M
534,crazies,
535,milton_glaser_to_inform_and_delight,
536,we_steal_secrets_the_story_of_wikileaks_2013,$158.9K
537,suburra_2015,
538,pink_panther_strikes_again,
539,jeremiah_johnson,
540,kirk_camerons_saving_christmas,$2.8M
541,the_flying_swords_of_dragon_gate,$127.7K
542,barney_thomson,
543,the_british_guide_to_showing_off,
544,paddleton,
545,afterglow,$2.5M
546,dead_of_winter,$2.2M
547,obit,$313.3K
548,bullet_head,
549,graffiti_bridge,$4.2M
550,shipping_news,$11.4M
551,hellions,
552,time_2020,
553,sarah_palin_you_betcha,$10.5K
554,ice_pirates,
555,all_the_right_moves,
556,lx_2048,
557,1017502-revenge,$15.1M
558,the_blob_1988,$7.8M
559,swat,$116.6M
560,opportunists,$581.1K
561,copying_beethoven,$352.8K
562,1175072-license_to_wed,$43.8M
563,bounce,$36.8M
564,inferno1980,
565,mummy_tomb_of_the_dragon_emperor,$102.2M
566,i_do,
567,hide_away,$29.6K
568,1158179-devil_and_daniel_johnston,$332.3K
569,brighton_rock-2010,$223.9K
570,the_love_letter,$8.3M
571,10008617-midnight_meat_train,$73.5K
572,midway_2019,$56.8M
573,handmaids_tale,$1.2M
574,1098734-loser,$15.5M
575,travelers_and_magicians,$505.3K
576,get_smart,$130.3M
577,flee,$338.2K
578,censor_2021,$88.0K
579,the_justice_of_bunny_king,
580,confession_of_a_child_of_the_century,
581,make_up_2020,
582,45_years,$4.3M
583,farming,
584,the-gods-must-be-crazy,$30.0M
585,endless_poetry,$64.0K
586,the_monkeys_mask,$49.0K
587,killing_me_softly,
588,visual_acoustics_the_modernism_of_julius_shulman,$102.5K
589,one_piece_stampede,
590,letters_from_baghdad,$307.2K
591,rhinoceros_eyes,
592,lawless_2012,$37.3M
593,daybreakers,$30.0M
594,muppet_treasure_island,$34.3M
595,paul_apostle_of_christ,$17.5M
596,the_valet_2022,
597,arachnophobia,$53.2M
598,last_unicorn,
599,raymond_and_ray,
600,max_keebles_big_move,$17.3M
601,kedi_2017,$2.8M
602,hands_on_a_hard_body,$549.1K
603,us_2019,$175.0M
604,do_you_believe,$13.0M
605,beyond_clueless_2014,
606,keanu_2016,$20.6M
607,a_walk_into_the_sea_danny_williams_and_the_warhol_factory,
608,lost_and_delirious,$302.4K
609,hollywood_ending,$4.8M
610,1187599-blood_car,
611,the_show_of_shows_100_years_of_vaudeville_circuses_and_carnivals,
612,deuces_wild,$6.0M
613,in_the_aisles,$20.3K
614,mean_creek,$603.9K
615,switching_channels,$8.2M
616,dealt,$30.4K
617,heart_and_souls,$16.4M
618,just_friends,$32.6M
619,supermensch_the_legend_of_shep_gordon,$211.8K
620,julieta_2016,$1.5M
621,the_quiet_one_2019,$37.0K
622,crime_story_2021,
623,xmen,$157.3M
624,1010214-hunchback_of_notre_dame,
625,halloween_iii_season_of_the_witch,
626,gay_divorcee,
627,1192245-girls_rock,$159.3K
628,side_by_side_2012,$28.6K
629,simpatico,$902.1K
630,10010760-miss_march,$4.5M
631,no_2012,$2.3M
632,october_baby_2011,$5.4M
633,after_life_2010,
634,grand_theft_parsons,
635,clouds_2020,
636,1093843-mansfield_park,$4.8M
637,waterboy,$161.5M
638,owl_and_the_sparrow,$47.1K
639,ordinary_world_2016,
640,love_gilda,$624.2K
641,1000121-39_steps,
642,it_all_starts_today,$12.3K
643,the_craft_legacy,
644,sorcerers_apprentice,$63.1M
645,once_upon_a_time_in_the_west,
646,summer_04,
647,1016842-prophecy,
648,no_time_to_die_2021,$160.8M
649,stan_and_ollie,$5.5M
650,tootsie,
651,sieranevada,
652,last_winter,$32.9K
653,eddie,$31.4M
654,lymelife,
655,surviving_the_game,$7.7M
656,four_weddings_and_a_funeral,$49.3M
657,burn_burn_burn,
658,tokyo_sonata,$277.3K
659,break_point,
660,mapplethorpe,$91.0K
661,kawasakis_rose_2010,
662,looking_for_eric,$55.8K
663,other_music,
664,abel,
665,trudell_2004,$21.8K
666,budrus,$68.4K
667,lunacy,$48.0K
668,the_kid_with_a_bike,$20.5K
669,wild_target,$117.2K
670,revenge_of_the_nerds,
671,hot_to_trot,$6.4M
672,les_temps_qui_changent,$540.4K
673,you_should_have_left,
674,funny_cow,
675,goal_2_living_the_dream,
676,alice_doesnt_live_here_anymore,
677,the_grandmaster,$6.6M
678,the_secret_garden_2020,
679,la_la_land,$151.1M
680,godzilla_king_of_the_monsters,$148.9K
681,persian_lessons,
682,halloween_kills,$92.0M
683,1066169-home_for_the_holidays,$17.0M
684,threesome,$14.0M
685,phantom_of_liberty,
686,rick,
687,sleepless_night,$2.1K
688,funny_girl,$223.3K
689,1157810-evil,$15.3K
690,wildlife_2018,$1.0M
691,the_descendants_2011,$82.6M
692,incendies,$6.9M
693,the_beasts,
694,hudson_hawk,$16.4M
695,all_together_now_2020,
696,moonwalkers_2016,
697,rmn,$46.1K
698,a-small-act,
699,after_midnight_2020,
700,freedom_writers,$36.6M
701,corporate_animals,
702,days_of_being_wild,$141.9K
703,in_your_hands,
704,standing_in_the_shadows_of_motown,$1.6M
705,10011262-outrage,$286.7K
706,tying_the_knot_2004,$37.5K
707,resurrect_dead_the_mystery_of_the_toynbee_tiles,$14.9K
708,1193335-deal,$57.2K
709,where_the_truth_lies,$871.5K
710,the_signal_2014,$597.4K
711,45365,
712,peepli-live,$754.8K
713,la_nana,$549.5K
714,1146673-1146673-stealth,$31.7M
715,jimmys_hall,$560.3K
716,10008700-darfur_now,$107.8K
717,western_stars,$1.6M
718,jaws_2,
719,star_wars_episode_ii_attack_of_the_clones,$310.7M
720,the_town,$92.2M
721,addicted_to_love,$34.7M
722,othello_1955,
723,mo_money,$39.5M
724,my_country_my_country,$33.6K
725,lost_transmissions,
726,even_money,
727,son_of_the_mask,$17.0M
728,untitled,$230.6K
729,auntie_mame,
730,simon_killer,$21.3K
731,brandon_teena_story,$91.6K
732,1976_2022,$166.0K
733,x_files_2,$21.0M
734,captain_america_1990,
735,young_black_stallion,$6.8M
736,highlander_endgame,$12.8M
737,clash_of_the_titans,
738,habit,
739,black_christmas_1974,
740,milagro_beanfield_war,$12.7M
741,the_captain_2017,$108.6K
742,eat_that_question_frank_zappa_in_his_own_words,$353.8K
743,they_live_by_night,
744,dont_look_back_1967,
745,whats_cooking,$1.0M
746,shine,$35.9M
747,jeffrey,$3.3M
748,james_journey_to_jerusalem,$63.8K
749,lore,$968.9K
750,pale_rider,
751,top_end_wedding,
752,run_this_town,
753,mortdecai,$7.7M
754,american_hardcore,$278.8K
755,the-incredible-adventures-of-wallace-gromit,
756,clean_and_sober,$8.6M
757,revolution-9,
758,citizen_kane,$977.3K
759,me_myself_and_irene,$90.6M
760,sophies_choice,
761,rollerball_2002,$19.0M
762,cinemania,$11.3K
763,carrie,$35.3M
764,the_history_of_future_folk_2012,$15.9K
765,pather_panchali,
766,1094723-celebration,$1.6M
767,1074108-101_dalmatians,$136.2M
768,port_of_shadows,
769,crown_vic,$2.5K
770,dr_t_and_the_women,$13.1M
771,lower_city,$130.6K
772,the_good_old_naughty_days,$59.2K
773,a_good_day_to_die_hard,$67.3M
774,from_paris_with_love,$24.0M
775,way_down_east,
776,iron_sky,$13.6K
777,dont_think_twice,$4.4M
778,cowboys-angels2003,$33.7K
779,halloween_5_the_revenge_of_michael_myers,$11.2M
780,who_invited_them,
781,usual_suspects,$22.6M
782,educating_rita,
783,consecration,$536.4K
784,1197120-oss_117_cairo_nest_of_spies,$302.8K
785,1152019-good_night_and_good_luck,$31.5M
786,volition,
787,house_of_gucci,$53.8M
788,rio_grande,
789,victoria_2015,$65.4K
790,10005403-the_baxter,$181.9K
791,touch_2020,
792,dreamscape,
793,im_thinking_of_ending_things,
794,10009526-public_enemies,$97.0M
795,in_the_valley_of_elah,$6.8M
796,cincinnati_kid,
797,chuck_steel_night_of_the_trampires,
798,the_ballad_of_buster_scruggs,
799,wrestling_with_angels_playwright_tony_kushner,$24.7K
800,from_up_on_poppy_hill,$284.7K
801,table_19,$3.6M
802,concussion_2015,$33.8M
803,mr_harrigans_phone,
804,the_infidel,
805,great_balls_of_fire,$13.4M
806,the_odyssey_2016,
807,dog_2022,$61.8M
808,1017123-raisin_in_the_sun,
809,universal_soldier_day_of_reckoning,$5.2K
810,1043923-browning_version,
811,1010939-jason_and_the_argonauts,
812,disclosure,$81.3M
813,finding_fela,
814,the_tale_of_the_princess_kaguya,$681.1K
815,secret_of_nimh,
816,1143967-pure,
817,off_and_running_2010,$15.2K
818,relaxer,$4.7K
819,the_pact_2012,
820,1085404-impostors,$2.2M
821,fiddler_on_the_roof,
822,resurrecting_the_champ,$3.2M
823,elstree_1976,$11.8K
824,hair-high,
825,quo_vadis_aida,
826,alamar,$61.6K
827,who_we_are_a_chronicle_of_racism_in_america,$234.2K
828,cowards_bend_the_knee,$22.9K
829,business_of_fancydancing,$174.7K
830,nearing_grace,
831,the_beta_test,$30.2K
832,resistance_2020,$6.5K
833,revenge_of_the_green_dragons,
834,when_comedy_went_to_school,$367.9K
835,attenberg_2010,$23.8K
836,le_corbeau,$36.1K
837,a_somewhat_gentle_man,$37.5K
838,the_reports_on_sarah_and_saleem,$113.8K
839,jessabelle,
840,across_the_universe,$24.3M
841,chatroom_2010,
842,flintstones_in_viva_rock_vegas,$35.2M
843,among_giants,$64.4K
844,costa_brava_lebanon,$18.7K
845,dora_and_the_lost_city_of_gold,$60.5M
846,fast_color,$74.7K
847,into_the_arms_of_strangers_stories_of_the_kindertransport,$374.6K
848,life_just_is_2012,
849,prosperos_books,$1.1M
850,rebel_in_the_rye,$376.7K
851,flushed_away,$64.5M
852,millions,$6.6M
853,deck_the_halls,$35.1M
854,live_and_let_die,
855,flight_2012,$93.7M
856,sinister_2012,$48.1M
857,smokey_and_the_bandit,
858,la-doppia-ora,$1.5M
859,star_wars_the_rise_of_skywalker,$515.2M
860,devils_own,
861,shes_beautiful_when_shes_angry,$420.6K
862,1125480-on_the_run,
863,north_sea_texas,$27.8K
864,under_siege,$82.3M
865,witness_for_the_prosecution,
866,the_argument,
867,addams_family,$111.3M
868,the_wanting_mare,
869,dragon_ball_super_broly,$30.0M
870,the_cannibal_club,
871,mortal_kombat,$70.5M
872,ararat,$1.6M
873,1001240-arthur,
874,rambo-first-blood-part-ii,$150.2M
875,chronicles_of_riddick,$57.6M
876,smashed,$376.0K
877,bill_and_ted_face_the_music,$3.4M
878,mr_wrong,$12.8M
879,1073315-associate,$12.8M
880,the_weasels_tale,
881,cidade_dos_homens,$307.1K
882,the_square_2017,$1.1M
883,town_and_country,$6.7M
884,1006364-dune,
885,karen_2021,
886,great_expectations_1947,
887,winter_passing,$106.6K
888,annie_1981,
889,dont_say_a_word,$55.0M
890,the_dark_knight,$2.0M
891,robocop_2,$45.4M
892,geostorm,$33.4M
893,7_boxes,
894,king_car,
895,reach_me,
896,the_inevitable_defeat_of_mister_and_pete,$487.3K
897,you_can_count_on_me,$9.2M
898,the_discreet_charm_of_the_bourgeoisie,$82.5K
899,lornas_silence,$337.7K
900,falling_inn_love,
901,orgasm_inc,$47.6K
902,nido_vacio,
903,the_angry_birds_movie,$107.5M
904,wyrm,
905,prime_cut,
906,stage_fright_2014,$7.1K
907,diggstown,$4.0M
908,gods_country_2022,
909,araya,
910,2046,$261.5K
911,the_silencing,$93.8K
912,trishna_2011,$240.4K
913,waiting_for_lightning_2012,$19.5K
914,the-amateurs,
915,suicide_squad_2016,
916,1058923-shallow_grave,$1.7M
917,dead_man_on_campus,$15.1M
918,escape_the_field,
919,adventures_of_elmo_in_grouchland,$11.6M
920,1125540-dummy,$71.3K
921,10010940-happy_tears,$22.4K
